state_code,county,pres_total_votes_2024,pres_total_votes_dem_2024,pres_total_votes_rep_2024,pres_total_votes_other_2024,pres_total_votes_dem_pct_2024,pres_total_votes_rep_pct_2024,pres_total_votes_other_pct_2024,pres_pct_reported_2024,senate_total_votes_2024,senate_total_votes_dem_2024,senate_total_votes_rep_2024,senate_total_votes_other_2024,senate_total_votes_dem_pct_2024,senate_total_votes_rep_pct_2024,senate_total_votes_other_pct_2024,senate_pct_reported_2024,house_total_votes_2024,house_total_votes_dem_2024,house_total_votes_rep_2024,house_total_votes_other_2024,house_total_votes_dem_pct_2024,house_total_votes_rep_pct_2024,house_total_votes_other_pct_2024,house_pct_reported_2024,gov_total_votes_2024,gov_total_votes_dem_2024,gov_total_votes_rep_2024,gov_total_votes_other_2024,gov_total_votes_dem_pct_2024,gov_total_votes_rep_pct_2024,gov_total_votes_other_pct_2024,gov_pct_reported_2024,pres_total_votes_2020,pres_total_votes_dem_2020,pres_total_votes_rep_2020,pres_total_votes_other_2020,pres_total_votes_dem_pct_2020,pres_total_votes_rep_pct_2020,pres_total_votes_other_pct_2020,pres_pct_reported_2020,senate_total_votes_2020,senate_total_votes_dem_2020,senate_total_votes_rep_2020,senate_total_votes_other_2020,senate_total_votes_dem_pct_2020,senate_total_votes_rep_pct_2020,senate_total_votes_other_pct_2020,senate_pct_reported_2020,house_total_votes_2020,house_total_votes_dem_2020,house_total_votes_rep_2020,house_total_votes_other_2020,house_total_votes_dem_pct_2020,house_total_votes_rep_pct_2020,house_total_votes_other_pct_2020,house_pct_reported_2020,gov_total_votes_2020,gov_total_votes_dem_2020,gov_total_votes_rep_2020,gov_total_votes_other_2020,gov_total_votes_dem_pct_2020,gov_total_votes_rep_pct_2020,gov_total_votes_other_pct_2020,gov_pct_reported_2020
AL,Autauga,27988,7429,20447,112,26.543518650850363,73.05630984707732,0.4001715020723167,95.0,,,,,,,,,27767,7420,20347,0,26.722368278892212,73.2776317211078,0.0,95.0,,,,,,,,,27341,7503,19838,0,27.442302768735598,72.55769723126441,0.0,100.0,27664,8277,19387,0,29.91975130133025,70.08024869866975,0.0,100.0,27438,7357,20081,0,26.813178803119758,73.18682119688023,0.0,100.0,,,,,,,,
AL,Baldwin,120316,24763,95144,409,20.581635027760232,79.07842680940192,0.3399381628378603,99.0,,,,,,,,,119955,23846,96109,0,19.879121337168105,80.1208786628319,0.0,99.0,,,,,,,,,108122,24578,83544,0,22.731728972826993,77.26827102717301,0.0,100.0,109125,28925,80200,0,26.50630011454754,73.49369988545247,0.0,100.0,108290,24326,83964,0,22.463754732662295,77.5362452673377,0.0,100.0,,,,,,,,
AL,Barbour,9725,4120,5578,27,42.365038560411314,57.3573264781491,0.2776349614395887,96.0,,,,,,,,,9652,4079,5573,0,42.26067136344799,57.73932863655201,0.0,89.0,,,,,,,,,10438,4816,5622,0,46.139107108641504,53.8608928913585,0.0,100.0,10470,5021,5449,0,47.95606494746896,52.04393505253104,0.0,100.0,10334,4691,5643,0,45.393845558351074,54.606154441648926,0.0,100.0,,,,,,,,
AL,Bibb,9195,1617,7563,15,17.58564437194127,82.25122349102773,0.1631321370309951,95.0,,,,,,,,,9129,1652,7477,0,18.09617701829335,81.90382298170665,0.0,95.0,,,,,,,,,9511,1986,7525,0,20.8810850594049,79.1189149405951,0.0,100.0,9564,2244,7320,0,23.462986198243414,76.53701380175659,0.0,100.0,7744,0,7744,0,0.0,100.0,0.0,100.0,,,,,,,,
AL,Blount,27912,2569,25271,72,9.203926626540557,90.53811980510174,0.2579535683576956,99.0,,,,,,,,,25416,0,25416,0,0.0,100.0,0.0,95.0,,,,,,,,,27351,2640,24711,0,9.652297905012613,90.34770209498738,0.0,100.0,27453,3290,24163,0,11.984118311295669,88.01588168870434,0.0,100.0,24996,189,24807,0,0.7561209793566971,99.2438790206433,0.0,100.0,,,,,,,,
AL,Bullock,4089,2983,1099,7,72.95182196135974,26.876987038395693,0.17119100024455858,92.0,,,,,,,,,4100,2996,1104,0,73.07317073170732,26.926829268292686,0.0,86.0,,,,,,,,,4592,3446,1146,0,75.04355400696863,24.95644599303136,0.0,100.0,4598,3490,1108,0,75.90256633318835,24.097433666811657,0.0,100.0,4498,3348,1150,0,74.43308136949756,25.566918630502443,0.0,100.0,,,,,,,,
AL,Butler,8428,3248,5167,13,38.53820598006645,61.307546274323684,0.15424774560987184,92.0,,,,,,,,,8418,3297,5121,0,39.166072701354246,60.83392729864576,0.0,86.0,,,,,,,,,9423,3965,5458,0,42.0778945134246,57.922105486575404,0.0,100.0,9425,4193,5232,0,44.48806366047746,55.51193633952255,0.0,99.0,9330,3893,5437,0,41.72561629153269,58.27438370846731,0.0,100.0,,,,,,,,
AL,Calhoun,48162,13170,34841,151,27.345209916531704,72.34126489763713,0.3135251858311532,98.0,,,,,,,,,37355,0,37355,0,0.0,100.0,0.0,94.0,,,,,,,,,50317,15216,35101,0,30.240276646063958,69.75972335393604,0.0,100.0,50744,16808,33936,0,33.12312785748069,66.87687214251932,0.0,100.0,50526,14389,36137,0,28.478407156711395,71.5215928432886,0.0,100.0,,,,,,,,
AL,Chambers,14148,5402,8704,42,38.182075204975966,61.5210630477806,0.2968617472434266,95.0,,,,,,,,,9678,0,9678,0,0.0,100.0,0.0,81.0,,,,,,,,,15118,6365,8753,0,42.10212991136394,57.89787008863606,0.0,100.0,15220,6908,8312,0,45.387647831800265,54.61235216819974,0.0,100.0,15080,6091,8989,0,40.391246684350136,59.608753315649864,0.0,100.0,,,,,,,,
AL,Cherokee,12922,1550,11342,30,11.995047206314812,87.772790589692,0.2321622039931899,95.0,,,,,,,,,11418,0,11418,0,0.0,100.0,0.0,95.0,,,,,,,,,12207,1624,10583,0,13.303842057835668,86.69615794216433,0.0,100.0,12234,2112,10122,0,17.263364394310937,82.73663560568907,0.0,100.0,12164,1495,10669,0,12.29036501150937,87.70963498849062,0.0,100.0,,,,,,,,
